id,eg_source,eg_title,eg_link,json
96,fivethirtyeight,Do You Buy That ... President Joe Biden Can Unite The Country? ,https://www.youtube.com/watch?v=QBD-PC880Iw,"    {'id':96,'eg_title':Do You Buy That ... President Joe Biden Can Unite The Country? ,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=QBD-PC880Iw},"
97,fivethirtyeight,Trump’s refusal to concede hasn’t made life easier for GOP in Georgia runoffs ,https://www.youtube.com/watch?v=zcBwgv_jAzQ,"    {'id':97,'eg_title':Trump’s refusal to concede hasn’t made life easier for GOP in Georgia runoffs ,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=zcBwgv_jAzQ},"
98,fivethirtyeight,Those suburban votes were key to putting Biden over the top,https://www.youtube.com/watch?v=tpyurjBIE0Q,"    {'id':98,'eg_title':Those suburban votes were key to putting Biden over the top,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=tpyurjBIE0Q},"
99,fivethirtyeight,I buy that COVID was a factor in polls underestimating,https://www.youtube.com/watch?v=O7bWIvQSvgk,"    {'id':99,'eg_title':I buy that COVID was a factor in polls underestimating,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=O7bWIvQSvgk},"
100,fivethirtyeight,What Happened To The Polls In 2016 — And What You Should Know About Them In 2020,https://www.youtube.com/watch?v=TambSayfCOE,"    {'id':100,'eg_title':What Happened To The Polls In 2016 — And What You Should Know About Them In 2020,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=TambSayfCOE},"
101,fivethirtyeight,(Trump) may be discouraging turnout within his own party,https://www.youtube.com/watch?v=wmmBV8ZSYzI,"    {'id':101,'eg_title':(Trump) may be discouraging turnout within his own party,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=wmmBV8ZSYzI},"
102,fivethirtyeight,Trump's getting into underdog territory,https://www.youtube.com/watch?v=tmxYbgzbplQ,"    {'id':102,'eg_title':Trump's getting into underdog territory,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=tmxYbgzbplQ},"
103,fivethirtyeight,Biden And Sanders Are Neck And Neck In Iowa,https://www.youtube.com/watch?v=2GK30_10878,"    {'id':103,'eg_title':Biden And Sanders Are Neck And Neck In Iowa,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=2GK30_10878},"
104,fivethirtyeight,Did The First Five Public Impeachment Hearings Change Anyone's Mind?,https://www.youtube.com/watch?v=kqkjK3A8YtE,"    {'id':104,'eg_title':Did The First Five Public Impeachment Hearings Change Anyone's Mind?,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=kqkjK3A8YtE},"
105,fivethirtyeight,How Ricky Williams’s infamous contract got made,https://www.youtube.com/watch?v=mMyPwdgLJKs,"    {'id':105,'eg_title':How Ricky Williams’s infamous contract got made,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=mMyPwdgLJKs},"
106,fivethirtyeight,Do You Buy That … Ranked-Choice Voting Could Change The Outcome Of The NYC Mayoral Race?,https://www.youtube.com/watch?v=epGltA0m5Ak,"    {'id':106,'eg_title':Do You Buy That … Ranked-Choice Voting Could Change The Outcome Of The NYC Mayoral Race?,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=epGltA0m5Ak},"
107,fivethirtyeight,Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy,https://www.youtube.com/watch?v=li-n4l_474g,"    {'id':107,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=li-n4l_474g},"
108,fivethirtyeight,Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,https://www.youtube.com/watch?v=li-n4l_474g,"    {'id':108,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=li-n4l_474g},"
109,fivethirtyeight,Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,https://www.youtube.com/watch?v=li-n4l_474g,"    {'id':109,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=li-n4l_474g},"
110,fivethirtyeight,Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,https://www.youtube.com/watch?v=li-n4l_474g,"    {'id':110,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy.,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=li-n4l_474g},"
111,fivethirtyeight,Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy,https://www.youtube.com/watch?v=li-n4l_474g,"    {'id':111,'eg_title':Republicans Can Govern Without Winning A Majority. That Threatens Our Democracy,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=li-n4l_474g},"
112,fivethirtyeight,I do not buy that the (J&J vaccine) pause was a good idea,https://www.youtube.com/watch?v=ejYmIk-cJ_k,"    {'id':112,'eg_title':I do not buy that the (J&J vaccine) pause was a good idea,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=ejYmIk-cJ_k},"
113,fivethirtyeight,What Makes LeBron James So Great,https://www.youtube.com/watch?v=zwOoSoZgsD0,"    {'id':113,'eg_title':What Makes LeBron James So Great,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=zwOoSoZgsD0},"
114,fivethirtyeight,What Makes LeBron James So Great,https://www.youtube.com/watch?v=zwOoSoZgsD0,"    {'id':114,'eg_title':What Makes LeBron James So Great,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=zwOoSoZgsD0},"
115,fivethirtyeight,Don’t Believe Anything The 2020 Exit Polls Tell You ,https://www.youtube.com/watch?v=TmvcaitydYY,"    {'id':115,'eg_title':Don’t Believe Anything The 2020 Exit Polls Tell You ,'eg_source':fivethirtyeight,'eg_link':https://www.youtube.com/watch?v=TmvcaitydYY},"
116,imb,The Last Star in the Universe – Red Dwarfs Explained,https://www.informationisbeautifulawards.com/showcase/1195-the-last-star-in-the-universe-red-dwarfs-explained?utm_content=buffer0e946&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,"    {'id':116,'eg_title':The Last Star in the Universe – Red Dwarfs Explained,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/showcase/1195-the-last-star-in-the-universe-red-dwarfs-explained?utm_content=buffer0e946&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer},"
117,imb,The Winners: Politics & Global,https://www.informationisbeautifulawards.com/news/531-the-winners-politics-global,"    {'id':117,'eg_title':The Winners: Politics & Global,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/531-the-winners-politics-global},"
118,imb,Data Science vs Fake,https://www.informationisbeautifulawards.com/news/302-the-shortlist-science-technology,"    {'id':118,'eg_title':Data Science vs Fake,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/302-the-shortlist-science-technology},"
119,imb,Noon It's Not,https://www.informationisbeautifulawards.com/showcase/4156-noon-it-s-not,"    {'id':119,'eg_title':Noon It's Not,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/showcase/4156-noon-it-s-not},"
120,imb,"3,121 Desperate Journeys: Exposing A Week Of Chaos Under Trump's Zero Tolerance",https://www.informationisbeautifulawards.com/news/431-the-shortlist-humanitarian,"    {'id':120,'eg_title':3,121 Desperate Journeys: Exposing A Week Of Chaos Under Trump's Zero Tolerance,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/431-the-shortlist-humanitarian},"
121,imb,A Plastic Coral,https://www.informationisbeautifulawards.com/news/438-the-shortlist-science-technology,"    {'id':121,'eg_title':A Plastic Coral,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/438-the-shortlist-science-technology},"
122,imb,Fish World,https://www.informationisbeautifulawards.com/news/438-the-shortlist-science-technology,"    {'id':122,'eg_title':Fish World,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/438-the-shortlist-science-technology},"
123,imb,Yo Y El Mundo,https://www.informationisbeautifulawards.com/showcase/3952-yo-y-el-mundo,"    {'id':123,'eg_title':Yo Y El Mundo,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/showcase/3952-yo-y-el-mundo},"
124,imb,The categories: Humanitarian / global,https://www.informationisbeautifulawards.com/news/221-the-categories-humanitarian-global,"    {'id':124,'eg_title':The categories: Humanitarian / global,'eg_source':imb,'eg_link':https://www.informationisbeautifulawards.com/news/221-the-categories-humanitarian-global},"
